Unnamed: 0,route_id,stop_id,stop_name,route_start_name,route_end_name
0,1,1,THIRUVOTRIYUR,THIRUVOTRIYUR,THIRUVANMIYUR
1,1,2,THIRUVOTRIYUR TEMPLE,THIRUVOTRIYUR,THIRUVANMIYUR
2,1,3,THANGAL,THIRUVOTRIYUR,THIRUVANMIYUR
3,1,4,ANNA NAGAR,THIRUVOTRIYUR,THIRUVANMIYUR
4,1,5,ROYAPURAM P.S,THIRUVOTRIYUR,THIRUVANMIYUR
5,1,6,CLIVE BATTERY,THIRUVOTRIYUR,THIRUVANMIYUR
6,1,7,PARRYS,THIRUVOTRIYUR,THIRUVANMIYUR
7,1,8,M.G.R.CENTRAL,THIRUVOTRIYUR,THIRUVANMIYUR
8,1,9,P.OR & SONS,THIRUVOTRIYUR,THIRUVANMIYUR
9,1,10,WESLEY H.S,THIRUVOTRIYUR,THIRUVANMIYUR
10,1,11,Y.M.I.A,THIRUVOTRIYUR,THIRUVANMIYUR
11,1,12,MANDAVELI,THIRUVOTRIYUR,THIRUVANMIYUR
12,1,13,A.M.S.HOSPITAL,THIRUVOTRIYUR,THIRUVANMIYUR
13,1,14,ADYAR O.T.,THIRUVOTRIYUR,THIRUVANMIYUR
14,1,15,ADYAR DEPOT,THIRUVOTRIYUR,THIRUVANMIYUR
15,1,16,THIRUVANMIYUR,THIRUVOTRIYUR,THIRUVANMIYUR
16,101,1,THIRUVOTRIYUR,THIRUVOTRIYUR,POONAMALLEE
17,101,2,THRUVOTRIYUR TEMPLE,THIRUVOTRIYUR,POONAMALLEE
18,101,3,THANGAL,THIRUVOTRIYUR,POONAMALLEE
19,101,4,ANNA NAGAR,THIRUVOTRIYUR,POONAMALLEE
20,101,5,ROYAPURAM P.S,THIRUVOTRIYUR,POONAMALLEE
21,101,6,CLIVE BATTERY,THIRUVOTRIYUR,POONAMALLEE
22,101,7,PARRYS,THIRUVOTRIYUR,POONAMALLEE
23,101,8,M.G.R.CENTRAL,THIRUVOTRIYUR,POONAMALLEE
24,101,9,DASAPRAKASH,THIRUVOTRIYUR,POONAMALLEE
25,101,10,TAYLORS ROAD,THIRUVOTRIYUR,POONAMALLEE
26,101,11,AMINJIKARAI,THIRUVOTRIYUR,POONAMALLEE
27,101,12,NADUVANKARAI,THIRUVOTRIYUR,POONAMALLEE
28,101,13,ARUMBAKKAM,THIRUVOTRIYUR,POONAMALLEE
29,101,14,NERKUNDRAM,THIRUVOTRIYUR,POONAMALLEE
30,101,15,MADURAVOYAL,THIRUVOTRIYUR,POONAMALLEE
31,101,16,VAANAGARAM,THIRUVOTRIYUR,POONAMALLEE
32,101,17,VELAPPANCHAVADI,THIRUVOTRIYUR,POONAMALLEE
